8/8/2P2bk1/pp1B2p1/4K1P1/5R1P/P3r3/8 w - - 6 46,[Move.from_uci('e4d3')]
1r4k1/pp3Rp1/4p2p/4P3/1PN5/8/5PPP/6K1 b - - 0 31,[Move.from_uci('g8f7')]
2rqr3/1p1bnpkp/p3pnp1/3p4/1PPP4/P1NB1N1P/3Q1PP1/2R2RK1 w - - 0 17,[Move.from_uci('c4c5')]
2rr2k1/pp2b1pp/4p1q1/5p2/2pP1P2/P1Pn2PP/1P2QNKN/3R1R2 b - - 1 24,[Move.from_uci('d3f4')]
1rb1r1k1/2p2ppp/p1Pp1n2/2q5/Q2NP3/1P2R1NP/P4PP1/4R1K1 b - - 2 21,[Move.from_uci('b8b4')]
8/8/8/p2k1p2/1p1P1P2/PP2K3/8/8 w - - 0 46,"[Move.from_uci('a3b4'), Move.from_uci('a5b4'), Move.from_uci('e3d3'), Move.from_uci('d5d6'), Move.from_uci('d3c4')]"
3r1rk1/pp3pp1/7p/3p4/3Nnqb1/2P5/PPQ1BPPP/3RR1K1 w - - 2 20,[Move.from_uci('e2g4')]
r4r2/3b1pkp/p1nppQp1/1p6/4P3/1B1P1N1P/2P2PP1/R4RK1 b - - 0 19,[Move.from_uci('g7f6')]
3r2k1/pp6/2q1p1pp/2p4r/4N3/1PbPQP2/P1P3KP/4RR2 w - - 3 23,[Move.from_uci('e4c3')]
4rk2/ppq2pp1/2pR1n1p/2P5/5N2/1PQ3P1/P4P1P/6K1 b - - 2 25,"[Move.from_uci('f6e4'), Move.from_uci('c3d4'), Move.from_uci('e4d6')]"
r1bqk1nr/pp1p1ppp/2p5/2b5/2BpP3/2P5/PP1P1PPP/RNBQK2R w KQkq - 2 7,[]
r2q1rk1/1pp3p1/2npp2p/p1b1p3/P2PP1n1/2P2N2/1P3PPP/R1BQRNK1 b - - 0 12,"[Move.from_uci('e5d4'), Move.from_uci('c3d4'), Move.from_uci('c6d4')]"
r4rk1/pp1nbp2/2n1p2B/3p4/3Pp3/4QN2/Pq2N1PP/R4RK1 b - - 1 19,[]
rn2k2r/ppp2ppp/8/q2np2b/1b5P/2NPBP2/PPPQN1P1/R3KB1R w KQkq - 1 11,"[Move.from_uci('g2g4'), Move.from_uci('h5g6'), Move.from_uci('h4h5')]"
r3k2r/ppp2ppp/2n5/q2np2b/1b5P/P1NPBP2/1PPQN1P1/R3KB1R w KQkq - 1 12,"[Move.from_uci('g2g4'), Move.from_uci('h5g6'), Move.from_uci('h4h5')]"
8/8/6r1/8/7k/8/5Kp1/6R1 b - - 7 75,"[Move.from_uci('h4h3'), Move.from_uci('g1c1'), Move.from_uci('h3h2')]"
8/8/8/3p4/1p6/1k1pK3/4p3/7R b - - 1 64,"[Move.from_uci('b3c2'), Move.from_uci('e3f2'), Move.from_uci('b4b3')]"
4r1k1/prpR1ppp/8/2p1N3/4n3/P3P2P/2P2PP1/4R1K1 b - - 3 20,[Move.from_uci('e4f6')]
5rk1/p3b1pp/2q5/2pr1pP1/4N1QP/1P1P1R2/2P3K1/7R w - f6 0 28,[Move.from_uci('g5f6')]
r4rk1/1ppqb1p1/p1np3p/4pN2/1P2n3/2P1QN2/PB3PPP/R3K2R w KQ - 0 15,"[Move.from_uci('f5e7'), Move.from_uci('c6e7'), Move.from_uci('e3e4')]"
8/2r5/3k4/2N1b1pp/1PKN2b1/3P4/8/4R3 w - - 4 41,[Move.from_uci('d4b5')]
3rr1k1/pp4bp/1qp3p1/4p3/2P5/1PNb1R1P/PB2Q1P1/5R1K w - - 0 22,"[Move.from_uci('f3d3'), Move.from_uci('d8d3'), Move.from_uci('e2d3')]"
3Q4/5kpp/b1p5/2q2B2/p1p5/1P2rPP1/P5KP/3R4 b - - 3 27,"[Move.from_uci('e3e2'), Move.from_uci('g2h1'), Move.from_uci('c5f5'), Move.from_uci('d1d7'), Move.from_uci('f7g6')]"
8/1kB5/4p3/2p2bP1/8/1P2K3/8/8 b - - 1 46,[Move.from_uci('b7c7')]
rn1qk2r/ppp2ppp/4b3/8/1bPPn3/2N5/PP1B1PPP/R2QKBNR b KQkq - 4 7,[Move.from_uci('d8d4')]
3r1k1r/1p3p1p/p1n2n2/2q2Q2/8/1bP1N3/1PN1BPPP/3RK2R b K - 5 19,"[Move.from_uci('c5f5'), Move.from_uci('d1d8'), Move.from_uci('c6d8'), Move.from_uci('e3f5'), Move.from_uci('b3c2')]"
3r2k1/ppp1r2p/5p2/6pQ/1PPbBP2/P1q3PP/8/3R1R1K b - - 0 25,[Move.from_uci('e7e4')]
rn1qk3/pp2np1p/3b3Q/2pP1b2/2B1p3/2N1P3/PP3PrP/R1B1K1NR w KQq - 0 14,[Move.from_uci('c4b5')]
4r1k1/5p1p/1R4p1/8/P3r3/3Bb2P/2P3P1/1R3K2 b - - 4 33,"[Move.from_uci('e4f4'), Move.from_uci('f1e1'), Move.from_uci('e3b6')]"
4r1k1/5p1p/6p1/b7/B7/7P/2P3P1/1R3K2 w - - 1 36,[Move.from_uci('a4e8')]
3r1r2/p1qn1pbk/4bnpp/4p3/NR1N4/3PB1PP/P2QPPB1/5RK1 b - - 0 18,[Move.from_uci('e5d4')]
2kr4/5R2/p1p2bp1/1p2p3/4P3/2N5/PPP2P2/2K5 b - - 0 24,"[Move.from_uci('f6g5'), Move.from_uci('c1b1'), Move.from_uci('b5b4')]"
r1b2rk1/pppPqppp/8/8/1b1Qn3/2N1B3/PPP2PPP/R3KB1R b KQ - 0 10,[Move.from_uci('c8d7')]
4n1k1/2r2ppp/R7/3N4/3p4/5BP1/5P1P/1b4K1 b - - 1 31,"[Move.from_uci('c7c1'), Move.from_uci('g1g2'), Move.from_uci('b1d3')]"
r1bqk1nr/pppp1ppp/2n5/8/4P3/1N6/PPP2bPP/RNBQKB1R w KQkq - 0 6,[Move.from_uci('e1f2')]
rn1qk2r/pp3pbp/3p1np1/1bpPP3/5P2/2N5/PP4PP/R1BQK1NR w KQkq - 0 10,"[Move.from_uci('e5f6'), Move.from_uci('d8f6'), Move.from_uci('c3b5')]"
2r5/1b2kp1p/pp2pp2/8/N2P4/1P5P/P2R1PP1/5K2 b - - 6 30,[Move.from_uci('c8c1')]
r1bqkb1r/pppp1Bpp/2n5/4p3/4n3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 0 5,"[Move.from_uci('e8f7'), Move.from_uci('c3e4'), Move.from_uci('d7d5')]"
r6r/ppp1qkpp/8/2bp4/1n4b1/1Q4NP/PPP1NPP1/R1B1K2R b KQ - 4 13,[Move.from_uci('g4e2')]
r1b2rk1/pp4p1/1q2p1Qp/3pPp2/8/2PBP1P1/PP4P1/R3K2R w KQ - 1 18,"[Move.from_uci('e1f2'), Move.from_uci('b6b2'), Move.from_uci('d3e2')]"
